 ,,Bananas Docena,Huevos Maple,Brote de Soja,Champignones,Girgolas,Morron Amarillo,Ananá,Alcaucil,Queso Criollo Horma,Kiwi Cajón,Pera Cajón,Pera Caja,Pera Bandeja,Pera Kg,Manzana Roja Caja,Manzana Roja Bandeja,Manzana Roja Kg,Manzana Verde Caja,Manzana Verde Bandeja,Manzana Verde Kg,Ciruela Cajón,Ciruela Kg,Durazno Cajón,Durazno Kg,Uva Kg,Uva Rosa,Uva Blanca,Uva Huevo,Uva Negra,Garbanzo,Almendras kg,Maní con Cáscara Bolsa,Queso de Cabra Horma,Miel de Caña,Miel de Abeja,Higo Cajón,Higos por Kg,Ajo Ristra,Berenjena Jaula,Berenjena Kg,Pomelo Jaula,Pomelo Grande Jaula,Pomelo Docena,Mandarina Grande Jaula,Mandarina Docena,Estevia atado,Cebolla Kg,Cebolla Morada Kg,Zukini Cajón,Zukini Kg,Naranja Docena,Ajo cabeza,Limón Docena,Papaya,Papa por Kg,Bananas Premium Docena,Arándanos bandeja,Banana Cajón,Banana Premium Cajón,Cayote,Zukini Jaula,Yerba Buena,Menta o yerba buena,Menta,Papa bolsa,Papá chica bolsa,Cebolla bolsa,Cebolla Morada Bolsa,Tomate cajón,Naranja Grande Jaula,Tomate redondo cajón,Naranja jaula,Limón jaula,Mandarina jaula,Mandarina Grande Docena,Zapallito Verde Jaula,Zapallito verde kg,Cereza kg,Choclo amarillo bolsa,Choclo amarillo Docena,Limón Grande Jaula,Morrón verde jaula,Morrón rojo jaula,Calabaza bolsa chica,Calabaza bolsa grande,Calabaza kg,Manzana Roja  Premium Caja ,Zapallo entero,Zapallo Amarillo Kg,Mango Caja,Zapallo negro Kg,Tomate Cherry Cajón,Tomate Cherry Kg,Platano,Palta Criolla Kg,Frutilla Cajón,Frutilla Kg,Repollo Morado,Repollo Blanco, Coliflor,Zanahoria Atado,Cilantro,Tomate Cajón p/ Salsa,Locoto Kg,Papines por kg,Orégano,Granada Kg,Romero fresco atado,Melón,Laurel,Albahaca Hidropónica,Tanjarina,Tomate Seco,Quinoa,Nabos,Maracuya,Sandía,Melon Caja,Tomate Cherry Jaula,Lima Docena,Frutilla Cajon p/mermelada,Lima Cajón,Papa Blanca Bolsa,Chia kg,Morrón Rojo Kg,Morrón Verde Kg,Tomate Jaula,Jengibre Kg,Pepino kg,Mango kg,Nuez kg,Albahaca seca,Tomate Redondo Kg,Quinotos Kg,Zanahorias Grandes por Bolsa,Salvia atado,Batata Bolsa,Batata Kg,Pelones Cajón,Pelones Kg,Porotos de Soja,Zanahoria por Kg,Tomate Perita Kg,Maiz Pelado kg,Poroto Pallares kg,Frutos Rojos 2 Congelados,Habas,Palta Madura por Kg,Lima jaula,Palta Madura por Kilo,Manzana Roja Deliciosa Bandeja,Lechuga Hidroponica,Tomillo,Palta Mediana por Kg,Lechuga Morada Jaula,Lechuga Crespa Jaula,Lechuga Mantecosa Jaula,Arandanos Congelados,Rucula unidad,Choclo Blanco por Bolsa,Choclo Blanco Docena,Quesillo,Berro,Jaula de Lechuga Repollada,Brócoli,Remolacha,Lechuga Repollada unidad,Puerro,Apio,Verdeo,Maracuya Congelado,Perejil,Radicheta,Arveja por Kg,Aji Picante por Kg,Chaucha por Kg,Espinaca,Lechuga Crespa unidad,Lechuga Morada unidad,Lechuga Mantecosa unidad,Albahaca unidad,Acelga,Lechuga Crespa 1/4,Lechuga Morada 1/4,Lechuga Escarola,Ají dulce,Esparragos,Repollos de Brucelas,Hongos de Pino,Papa Oca por kg,Damasco kg,Hinojo,Rabanito,Frutos Rojos 1 Congelados,kiwi Kg,Rucula Hidroponica,Lenteja por Kg,Pimentón por Kg,Provenzal kg,,,
4/09/2025 6:10:21,030) Bovino Rivadavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2025 6:11:19,021) Estación Belgrano,"1,5",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,"0,5",,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,"0,5",2,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:25:23,033) Tucan Club,"0,5",1,,,,,,,,,,,,"1,45",,,"1,4",,,,,,,,,,,,,,,,,,,,,,,"1,4",,,,,,,4,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:26:13,024) De Boca en Boca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,1,,2,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:28:37,020) Alvarez,"0,5",,,,,,,,,,,,,1,,,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,4,,,,"0,75",2,"0,75",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,2,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,"0,7",,,,,,,
5/09/2025 5:29:05,018) Estación Terminal,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:29:22,040) Gertrudis Cafe,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:29:55,007) Factury,"0,5",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,"0,5",,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:30:46,019) The Salad Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:33:09,035) Mapogo,1,,3,,,1,,,,,,,,1,,,1,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,,"1,5",,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,5",,,,1,,,1,,,,,,,,,1,,,,,,,,"0,5",,,,,,,,1,1,,,,,,,,,,,,,,,,"1,5",,,,,,,,15,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,1,,1,,,,,,,,,,,,,,,"1,5",,,,,,,
5/09/2025 5:33:53,012) Estación Belgrano 2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:34:30,038) La Fiamma Paseo Guemes,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:34:49,010) Factury Güemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:35:16,002) Estación Buenos Aires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:35:52,005) Barrett,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,"1,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:36:56,031) Charrua,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,2,,,5,4,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:37:47,043) La Fiamma Caseros,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2025 5:39:30,021) Estación Belgrano,,,1,,,,,,,,,,,1,,,"0,5",,,"0,5",,,,,,,,,,,,,,,2,,,,,,,,"0,5",,,,,"0,5",,,,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,5",,"0,25",,,,,,,,,,,,,,"0,5",2,,,,,,,8,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:22:45,015) H Villa Vicuña,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:23:12,024) De Boca en Boca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:24:04,018) Estación Terminal,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:24:18,040) Gertrudis Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:24:54,019) The Salad Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"0,5",,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:25:26,002) Estación Buenos Aires,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:25:49,007) Factury,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6/09/2025 5:26:30,038) La Fiamma Paseo Guemes,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,,,,,,,,,,,,8,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
6/09/2025 5:27:09,010) Factury Güemes,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:29:05,035) Mapogo,2,,,,,,,,,,,,,4,,,4,,,3,,,,,1,,,,,,,,1,,2,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,2,1,,,,,,,,,,,,,2,,,,,,,3,,,1,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,4,2,,,,4,,,,,,,,,,,,3,4,,,,,,,20,,,,,,,,,4,,,,,,,2,,,1,1,,,,,,,2,2,2,3,2,,,,,,,,,,,,,,2,,,,,,,
6/09/2025 5:30:03,043) La Fiamma Caseros,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,2,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,1,,,,,,,5,5,,,,,,,,,,,,,,,,,2,,,,,,,
6/09/2025 5:31:37,031) Charrua,2,,,,,,,,,,,,,1,,,4,,,3,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,7,,,,2,,,,1,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,10,,,,,,4,,,,,5,,,,,,2,,4,6,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:33:03,016) House,4,,,,,,,,,,,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,"0,5",,1,,,,,,,,,,,,,,,4,,"0,5",,,,,2,2,,,,2,,,,,,,"0,5",,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,3,2,,,,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,2,3,,,1,,,,,,,,,,,,,,2,,,,,,,
6/09/2025 5:33:21,025) Spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:34:32,021) Estación Belgrano,1,,1,,,,,,,,,,,,,,1,,,"1,5",,,,,,,,,,,,,,,2,,,,,"0,5",,,"0,25",,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,
6/09/2025 5:34:55,030) Bovino Rivadavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:17:07,019) The Salad Bar,"0,5",1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5","0,4",,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,3,,,,,,1,1,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:17:54,023) Los Diaz,"1,5",,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8/09/2025 5:19:20,012) Estación Belgrano 2,,,,,,,,,,,,,,1,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,"0,5",,,,,,,2,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:20:07,002) Estación Buenos Aires,2,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:20:26,010) Factury Güemes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:20:52,005) Barrett,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,"0,5",,,,,,,
8/09/2025 5:21:39,018) Estación Terminal,"0,5",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:22:35,050) Moira Parrilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,"1,25",,,,,,,,,,,,,,"0,5",,,,,"0,5",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:26:20,024) De Boca en Boca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,"0,5",2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,4,,,2,4,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:27:36,038) La Fiamma Paseo Guemes,"0,5",6,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
8/09/2025 5:29:35,035) Mapogo,2,,,,,2,,,,,,,,3,,,2,,,2,,,,,1,,,,,,,,,,,,,,,2,,,,,1,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,"5,4",,,,,,,,2,,,,,4,,,,,,,,,,,,3,2,,,,,,,15,,,,,,,,,4,,,,,,,,,1,1,1,,,,,,,,4,4,3,,,,,,,,,,,,,,,2,,,,,,,
8/09/2025 5:30:38,046) Hirpace Comedor,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,"0,5",,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",2,,,,,3,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:31:29,047) Hirpace Institucion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,"0,5",,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",2,,,,,2,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:32:14,007) Factury,"0,5",,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5",,,"0,5",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:33:02,021) Estación Belgrano,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"0,5",,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2025 5:33:22,016) House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
